,problem,expected_answer,gpt4_answer,is_correct
0,"Question: What is (nine + eight) * two?
Answer:",34,34,True
1,"Question: What is (four - seven) - three?
Answer:",-6,-6,True
2,"Question: What is (one - five) - six?
Answer:",-10,-10,True
3,"Question: What is (one - nine) * five?
Answer:",-40,-40,True
4,"Question: What is (four * four) * one?
Answer:",16,16,True
5,"Question: What is (eight + three) * five?
Answer:",55,55,True
6,"Question: What is (seven + five) - six?
Answer:",6,6,True
7,"Question: What is (two - eight) - four?
Answer:",-10,-10,True
8,"Question: What is (two * four) * six?
Answer:",48,48,True
9,"Question: What is (three - four) - one?
Answer:",-2,-2,True
10,"Question: What is (three + eight) * eight?
Answer:",88,88,True
11,"Question: What is (five - nine) * three?
Answer:",-12,-12,True
12,"Question: What is (three * five) + seven?
Answer:",22,22,True
13,"Question: What is (five + four) * seven?
Answer:",63,63,True
14,"Question: What is (two + five) + three?
Answer:",10,10,True
15,"Question: What is (seven * five) - four?
Answer:",31,31,True
16,"Question: What is (five - one) * six?
Answer:",24,24,True
17,"Question: What is (one * five) * seven?
Answer:",35,35,True
18,"Question: What is (five - one) * seven?
Answer:",28,28,True
19,"Question: What is (five + one) + one?
Answer:",7,7,True
20,"Question: What is (four * nine) + two?
Answer:",38,38,True
21,"Question: What is (two - six) * two?
Answer:",-8,-8,True
22,"Question: What is (two + five) - one?
Answer:",6,6,True
23,"Question: What is (nine + five) * four?
Answer:",56,56,True
24,"Question: What is (two - three) - two?
Answer:",-3,-3,True
25,"Question: What is (one - three) + nine?
Answer:",7,7,True
26,"Question: What is (eight * two) + eight?
Answer:",24,24,True
27,"Question: What is (one + five) * three?
Answer:",18,18,True
28,"Question: What is (six - four) + five?
Answer:",7,7,True
29,"Question: What is (five - four) - nine?
Answer:",-8,-8,True
30,"Question: What is (two + four) - one?
Answer:",5,5,True
31,"Question: What is (nine - four) + nine?
Answer:",14,14,True
32,"Question: What is (one - two) * eight?
Answer:",-8,-8,True
33,"Question: What is (one * eight) - nine?
Answer:",-1,7,False
34,"Question: What is (four * seven) + two?
Answer:",30,30,True
35,"Question: What is (four + eight) - nine?
Answer:",3,3,True
