problem,expected_answer,gpt4_answer,is_correct
"Question: What is 65360 plus 16204?
Answer:",81564,81564,True
"Question: What is 91169 plus 57223?
Answer:",148392,148392,True
"Question: What is 52888 plus 52240?
Answer:",105128,105128,True
"Question: What is 35742 plus 78660?
Answer:",114402,114402,True
"Question: What is 69074 plus 90431?
Answer:",159505,159505,True
"Question: What is 61530 plus 83035?
Answer:",144565,144565,True
"Question: What is 98901 plus 6004?
Answer:",104905,104905,True
"Question: What is 60097 plus 38097?
Answer:",98194,98194,True
"Question: What is 35779 plus 79717?
Answer:",115496,115496,True
"Question: What is 67255 plus 99168?
Answer:",166423,166423,True
"Question: What is 16566 plus 72378?
Answer:",88944,88944,True
"Question: What is 14127 plus 79804?
Answer:",93931,93931,True
"Question: What is 86635 plus 83655?
Answer:",170290,170290,True
"Question: What is 40252 plus 68825?
Answer:",109077,109077,True
"Question: What is 84169 plus 89798?
Answer:",173967,173967,True
"Question: What is 46923 plus 27227?
Answer:",74150,74150,True
"Question: What is 69635 plus 49859?
Answer:",119494,119494,True
"Question: What is 85404 plus 9795?
Answer:",95199,95199,True
"Question: What is 93752 plus 53672?
Answer:",147424,147424,True
"Question: What is 52519 plus 48297?
Answer:",100816,100816,True
"Question: What is 70412 plus 22465?
Answer:",92877,92877,True
"Question: What is 40256 plus 59490?
Answer:",99746,99746,True
"Question: What is 33713 plus 26875?
Answer:",60588,60588,True
"Question: What is 86968 plus 37873?
Answer:",124841,124841,True
"Question: What is 46168 plus 92588?
Answer:",138756,138756,True
"Question: What is 34320 plus 74437?
Answer:",108757,108757,True
"Question: What is 132 plus 79778?
Answer:",79910,79910,True
"Question: What is 76065 plus 55822?
Answer:",131887,131887,True
"Question: What is 34127 plus 63689?
Answer:",97816,97716,False
"Question: What is 85081 plus 6994?
Answer:",92075,92075,True
"Question: What is 68404 plus 45420?
Answer:",113824,113824,True
"Question: What is 89811 plus 70282?
Answer:",160093,160093,True
"Question: What is 49677 plus 44446?
Answer:",94123,94123,True
"Question: What is 26703 plus 76635?
Answer:",103338,103338,True
"Question: What is 20437 plus 13099?
Answer:",33536,33536,True
"Question: What is 47309 plus 60542?
Answer:",107851,107851,True
"Question: What is 43796 plus 97381?
Answer:",141177,141177,True
"Question: What is 78231 plus 75782?
Answer:",154013,154013,True
"Question: What is 38304 plus 9173?
Answer:",47477,47477,True
"Question: What is 89556 plus 52456?
Answer:",142012,142012,True
"Question: What is 50327 plus 370?
Answer:",50697,50697,True
"Question: What is 92605 plus 7824?
Answer:",100429,100429,True
"Question: What is 1590 plus 49669?
Answer:",51259,51259,True
"Question: What is 63380 plus 2381?
Answer:",65761,65761,True
"Question: What is 78633 plus 39090?
Answer:",117723,117123,False
"Question: What is 76550 plus 14298?
Answer:",90848,90848,True
"Question: What is 27858 plus 5494?
Answer:",33352,33352,True
"Question: What is 10374 plus 57421?
Answer:",67795,67795,True
