,problem,expected_answer,gpt4_answer,is_correct
0,"Question: What is ninety-five times forty-five?
Answer:",4275,4275,True
1,"Question: What is fifty-four times four?
Answer:",216,216,True
2,"Question: What is four times sixty-nine?
Answer:",276,276,True
3,"Question: What is seventy times ninety-four?
Answer:",6580,6580,True
4,"Question: What is sixty-five times eighty-one?
Answer:",5265,5265,True
5,"Question: What is twenty-five times zero?
Answer:",0,0,True
6,"Question: What is three times seventy-one?
Answer:",213,213,True
7,"Question: What is twenty-seven times forty-one?
Answer:",1107,1107,True
8,"Question: What is thirty-one times eighty-five?
Answer:",2635,2635,True
9,"Question: What is ninety-two times eighty-three?
Answer:",7636,7636,True
10,"Question: What is sixty-eight times eighty-three?
Answer:",5644,5644,True
11,"Question: What is thirty-four times ninety-two?
Answer:",3128,3136,False
12,"Question: What is ninety-one times seventy-eight?
Answer:",7098,7098,True
13,"Question: What is ninety-seven times eighty-five?
Answer:",8245,8245,True
14,"Question: What is sixty-nine times thirty-one?
Answer:",2139,2139,True
15,"Question: What is fifty-five times eighty-seven?
Answer:",4785,4785,True
16,"Question: What is ninety-four times forty-two?
Answer:",3948,3948,True
17,"Question: What is forty-eight times twenty-three?
Answer:",1104,1104,True
18,"Question: What is ninety-two times seven?
Answer:",644,644,True
19,"Question: What is seventy-seven times ninety-nine?
Answer:",7623,7623,True
20,"Question: What is eighty-eight times thirty-two?
Answer:",2816,2816,True
21,"Question: What is eleven times seven?
Answer:",77,77,True
22,"Question: What is forty times thirty-six?
Answer:",1440,1440,True
23,"Question: What is thirty-nine times twenty-seven?
Answer:",1053,1053,True
24,"Question: What is ninety times fifty-six?
Answer:",5040,5040,True
25,"Question: What is sixty-seven times sixteen?
Answer:",1072,1072,True
26,"Question: What is fifty-four times twenty-six?
Answer:",1404,1404,True
27,"Question: What is fifty-one times sixty-six?
Answer:",3366,3366,True
28,"Question: What is ninety-one times ninety-five?
Answer:",8645,8645,True
29,"Question: What is forty-four times sixty-three?
Answer:",2772,2772,True
30,"Question: What is twenty-five times forty-eight?
Answer:",1200,1200,True
31,"Question: What is ninety-eight times eighty-three?
Answer:",8134,8134,True
32,"Question: What is thirty times six?
Answer:",180,180,True
33,"Question: What is seven times fifty?
Answer:",350,350,True
34,"Question: What is twelve times thirty-four?
Answer:",408,408,True
35,"Question: What is ninety-nine times sixty-two?
Answer:",6138,6138,True
36,"Question: What is forty-nine times ninety-three?
Answer:",4557,4557,True
37,"Question: What is sixty-two times forty-three?
Answer:",2666,2666,True
38,"Question: What is seven times eighty-nine?
Answer:",623,623,True
39,"Question: What is forty-four times forty-eight?
Answer:",2112,2112,True
40,"Question: What is forty-three times five?
Answer:",215,215,True
41,"Question: What is thirty-two times fifty-six?
Answer:",1792,1792,True
42,"Question: What is ninety times sixty-three?
Answer:",5670,5670,True
43,"Question: What is eight times fifty-eight?
Answer:",464,464,True
44,"Question: What is thirty times thirty-five?
Answer:",1050,1050,True
45,"Question: What is thirty-five times thirteen?
Answer:",455,455,True
46,"Question: What is forty-seven times twelve?
Answer:",564,564,True
47,"Question: What is forty times two?
Answer:",80,80,True
48,"Question: What is seventy-seven times ten?
Answer:",770,770,True
49,"Question: What is ten times sixty-two?
Answer:",620,620,True
50,"Question: What is nineteen times sixteen?
Answer:",304,304,True
51,"Question: What is forty times twenty-nine?
Answer:",1160,1160,True
52,"Question: What is forty-one times fifty-eight?
Answer:",2378,2378,True
53,"Question: What is twenty-one times thirty-one?
Answer:",651,651,True
