problem,expected_answer,gpt4_answer,is_correct
"Question: What is (9 + 8) * 2?
Answer:",34,34,True
"Question: What is (4 - 7) - 3?
Answer:",-6,-6,True
"Question: What is (1 - 5) - 6?
Answer:",-10,-10,True
"Question: What is (1 - 9) * 5?
Answer:",-40,-40,True
"Question: What is (4 * 4) * 1?
Answer:",16,16,True
"Question: What is (8 + 3) * 5?
Answer:",55,55,True
"Question: What is (7 + 5) - 6?
Answer:",6,6,True
"Question: What is (2 - 8) - 4?
Answer:",-10,-10,True
"Question: What is (2 * 4) * 6?
Answer:",48,48,True
"Question: What is (3 - 4) - 1?
Answer:",-2,-2,True
"Question: What is (3 + 8) * 8?
Answer:",88,88,True
"Question: What is (5 - 9) * 3?
Answer:",-12,-12,True
"Question: What is (3 * 5) + 7?
Answer:",22,22,True
"Question: What is (5 + 4) * 7?
Answer:",63,63,True
"Question: What is (2 + 5) + 3?
Answer:",10,10,True
"Question: What is (7 * 5) - 4?
Answer:",31,31,True
"Question: What is (5 - 1) * 6?
Answer:",24,24,True
"Question: What is (1 * 5) * 7?
Answer:",35,35,True
"Question: What is (5 - 1) * 7?
Answer:",28,28,True
"Question: What is (5 + 1) + 1?
Answer:",7,7,True
"Question: What is (4 * 9) + 2?
Answer:",38,38,True
"Question: What is (2 - 6) * 2?
Answer:",-8,-8,True
"Question: What is (2 + 5) - 1?
Answer:",6,6,True
"Question: What is (9 + 5) * 4?
Answer:",56,56,True
"Question: What is (2 - 3) - 2?
Answer:",-3,-3,True
"Question: What is (1 - 3) + 9?
Answer:",7,7,True
"Question: What is (8 * 2) + 8?
Answer:",24,24,True
"Question: What is (1 + 5) * 3?
Answer:",18,18,True
"Question: What is (6 - 4) + 5?
Answer:",7,7,True
"Question: What is (5 - 4) - 9?
Answer:",-8,-8,True
"Question: What is (2 + 4) - 1?
Answer:",5,5,True
"Question: What is (9 - 4) + 9?
Answer:",14,14,True
"Question: What is (1 - 2) * 8?
Answer:",-8,-8,True
"Question: What is (1 * 8) - 9?
Answer:",-1,-1,True
"Question: What is (4 * 7) + 2?
Answer:",30,30,True
"Question: What is (4 + 8) - 9?
Answer:",3,3,True
"Question: What is (4 + 1) + 7?
Answer:",12,12,True
"Question: What is (3 - 7) + 6?
Answer:",2,2,True
"Question: What is (5 - 9) * 8?
Answer:",-32,-32,True
"Question: What is (9 + 9) - 2?
Answer:",16,16,True
"Question: What is (1 - 9) - 2?
Answer:",-10,-10,True
"Question: What is (7 - 4) - 1?
Answer:",2,2,True
"Question: What is (3 * 5) + 8?
Answer:",23,23,True
"Question: What is (1 - 5) * 4?
Answer:",-16,-16,True
"Question: What is (2 * 6) - 7?
Answer:",5,5,True
"Question: What is (1 * 5) - 8?
Answer:",-3,-3,True
"Question: What is (6 * 5) - 2?
Answer:",28,28,True
"Question: What is (3 * 4) - 8?
Answer:",4,4,True
"Question: What is (8 + 9) + 8?
Answer:",25,25,True
"Question: What is (7 * 7) - 2?
Answer:",47,47,True
"Question: What is (6 - 5) + 7?
Answer:",8,8,True
"Question: What is (5 - 6) * 4?
Answer:",-4,-4,True
"Question: What is (2 * 7) - 7?
Answer:",7,7,True
"Question: What is (1 * 1) + 6?
Answer:",7,7,True
"Question: What is (6 + 6) + 1?
Answer:",13,13,True
"Question: What is (7 + 5) + 5?
Answer:",17,17,True
"Question: What is (3 + 7) - 6?
Answer:",4,4,True
"Question: What is (5 + 3) * 4?
Answer:",32,32,True
"Question: What is (8 * 9) + 8?
Answer:",80,80,True
"Question: What is (5 * 5) * 2?
Answer:",50,50,True
"Question: What is (2 * 7) + 2?
Answer:",16,16,True
"Question: What is (8 * 3) + 4?
Answer:",28,28,True
"Question: What is (6 + 3) - 5?
Answer:",4,4,True
"Question: What is (3 * 2) + 1?
Answer:",7,7,True
"Question: What is (5 + 8) + 7?
Answer:",20,20,True
"Question: What is (8 * 8) - 1?
Answer:",63,63,True
"Question: What is (7 + 5) + 3?
Answer:",15,15,True
"Question: What is (7 * 8) - 1?
Answer:",55,55,True
"Question: What is (1 + 6) - 9?
Answer:",-2,-2,True
"Question: What is (5 - 1) - 9?
Answer:",-5,-5,True
"Question: What is (6 - 5) * 3?
Answer:",3,3,True
"Question: What is (3 * 8) * 2?
Answer:",48,48,True
"Question: What is (8 * 7) * 1?
Answer:",56,56,True
"Question: What is (4 + 1) * 6?
Answer:",30,30,True
"Question: What is (8 - 9) + 8?
Answer:",7,7,True
"Question: What is (7 + 9) + 5?
Answer:",21,21,True
"Question: What is (7 * 8) + 4?
Answer:",60,60,True
"Question: What is (7 - 6) * 7?
Answer:",7,7,True
"Question: What is (6 * 7) - 7?
Answer:",35,35,True
"Question: What is (7 - 7) + 3?
Answer:",3,3,True
"Question: What is (4 * 6) - 9?
Answer:",15,15,True
"Question: What is (2 - 7) * 9?
Answer:",-45,-45,True
"Question: What is (3 + 8) * 3?
Answer:",33,33,True
"Question: What is (3 + 4) * 8?
Answer:",56,56,True
"Question: What is (4 + 9) * 7?
Answer:",91,91,True
"Question: What is (2 + 3) * 5?
Answer:",25,25,True
"Question: What is (1 * 4) - 2?
Answer:",2,2,True
"Question: What is (4 - 4) - 6?
Answer:",-6,-6,True
"Question: What is (4 + 7) + 3?
Answer:",14,14,True
"Question: What is (9 + 5) * 8?
Answer:",112,112,True
"Question: What is (3 - 6) * 7?
Answer:",-21,-21,True
"Question: What is (8 - 9) * 3?
Answer:",-3,-3,True
"Question: What is (7 - 9) + 1?
Answer:",-1,-1,True
"Question: What is (8 * 7) + 2?
Answer:",58,58,True
"Question: What is (6 * 9) - 1?
Answer:",53,53,True
"Question: What is (2 - 6) - 7?
Answer:",-11,-11,True
"Question: What is (1 * 5) * 6?
Answer:",30,30,True
"Question: What is (7 - 3) - 3?
Answer:",1,1,True
"Question: What is (8 - 1) + 8?
Answer:",15,15,True
"Question: What is (3 - 2) + 6?
Answer:",7,7,True
"Question: What is (6 - 3) - 2?
Answer:",1,1,True
"Question: What is (8 - 2) + 2?
Answer:",8,8,True
"Question: What is (7 + 2) - 4?
Answer:",5,5,True
"Question: What is (5 * 1) + 6?
Answer:",11,11,True
"Question: What is (5 * 4) + 5?
Answer:",25,25,True
"Question: What is (2 - 1) - 1?
Answer:",0,0,True
"Question: What is (2 * 7) + 5?
Answer:",19,19,True
"Question: What is (5 * 2) - 8?
Answer:",2,2,True
"Question: What is (2 + 6) * 2?
Answer:",16,16,True
"Question: What is (1 + 9) * 4?
Answer:",40,40,True
"Question: What is (6 - 8) - 5?
Answer:",-7,-7,True
"Question: What is (9 * 3) - 2?
Answer:",25,25,True
"Question: What is (7 * 1) - 1?
Answer:",6,6,True
"Question: What is (8 * 8) * 8?
Answer:",512,512,True
"Question: What is (3 - 2) - 5?
Answer:",-4,-4,True
"Question: What is (9 + 9) * 2?
Answer:",36,36,True
"Question: What is (9 * 2) + 4?
Answer:",22,22,True
"Question: What is (3 * 7) + 4?
Answer:",25,25,True
"Question: What is (8 + 4) * 2?
Answer:",24,24,True
"Question: What is (5 + 8) * 6?
Answer:",78,78,True
"Question: What is (5 * 7) - 4?
Answer:",31,31,True
"Question: What is (2 * 9) - 1?
Answer:",17,17,True
"Question: What is (1 * 2) + 9?
Answer:",11,11,True
"Question: What is (4 + 2) + 5?
Answer:",11,11,True
"Question: What is (4 - 6) * 3?
Answer:",-6,-6,True
"Question: What is (1 + 7) - 1?
Answer:",7,7,True
"Question: What is (9 + 2) + 9?
Answer:",20,20,True
"Question: What is (3 - 4) - 9?
Answer:",-10,-10,True
"Question: What is (4 * 1) * 1?
Answer:",4,4,True
"Question: What is (3 + 3) + 3?
Answer:",9,9,True
"Question: What is (9 + 2) - 7?
Answer:",4,4,True
"Question: What is (7 - 3) * 6?
Answer:",24,24,True
"Question: What is (8 + 8) * 5?
Answer:",80,80,True
"Question: What is (5 * 7) + 5?
Answer:",40,40,True
"Question: What is (5 - 3) * 5?
Answer:",10,10,True
"Question: What is (5 - 8) * 4?
Answer:",-12,-12,True
"Question: What is (3 + 5) * 6?
Answer:",48,48,True
"Question: What is (6 * 9) + 2?
Answer:",56,56,True
"Question: What is (2 + 7) + 5?
Answer:",14,14,True
"Question: What is (7 + 4) + 7?
Answer:",18,18,True
"Question: What is (8 + 9) - 5?
Answer:",12,12,True
"Question: What is (8 + 2) + 1?
Answer:",11,11,True
"Question: What is (3 * 9) * 8?
Answer:",216,216,True
