,problem,expected_answer,gpt4_answer,is_correct
0,"Question: What is seventeen minus fourteen?
Answer:",3,3,True
1,"Question: What is twenty minus five?
Answer:",15,15,True
2,"Question: What is thirty-three minus eighty-eight?
Answer:",-55,-55,True
3,"Question: What is twenty-nine minus three?
Answer:",26,26,True
4,"Question: What is sixty-nine minus forty-nine?
Answer:",20,20,True
5,"Question: What is seven minus sixty-six?
Answer:",-59,-59,True
6,"Question: What is two minus one?
Answer:",1,1,True
7,"Question: What is eleven minus twenty-five?
Answer:",-14,-14,True
8,"Question: What is thirty-three minus seven?
Answer:",26,26,True
9,"Question: What is twenty-two minus ninety-one?
Answer:",-69,-69,True
10,"Question: What is thirty-seven minus nineteen?
Answer:",18,18,True
11,"Question: What is thirty-seven minus three?
Answer:",34,34,True
12,"Question: What is ninety-four minus thirty-seven?
Answer:",57,57,True
13,"Question: What is ninety-three minus nine?
Answer:",84,84,True
14,"Question: What is eighty-six minus forty-four?
Answer:",42,42,True
15,"Question: What is sixty-eight minus forty-six?
Answer:",22,22,True
16,"Question: What is forty-five minus fifty?
Answer:",-5,-5,True
17,"Question: What is five minus ninety-four?
Answer:",-89,-89,True
18,"Question: What is eighty-five minus sixty?
Answer:",25,25,True
19,"Question: What is fifty-five minus seventy-five?
Answer:",-20,-20,True
20,"Question: What is thirty-six minus thirty-one?
Answer:",5,5,True
21,"Question: What is forty-three minus twenty-two?
Answer:",21,21,True
22,"Question: What is eight minus twenty-one?
Answer:",-13,-13,True
23,"Question: What is fifty-seven minus eighty-nine?
Answer:",-32,-32,True
24,"Question: What is twelve minus five?
Answer:",7,7,True
25,"Question: What is seventy-seven minus fifty-two?
Answer:",25,25,True
26,"Question: What is fifty-six minus eighty?
Answer:",-24,-24,True
27,"Question: What is forty-eight minus eighty-one?
Answer:",-33,-33,True
28,"Question: What is twenty-two minus fifty-two?
Answer:",-30,-30,True
29,"Question: What is three minus sixteen?
Answer:",-13,-13,True
30,"Question: What is ninety-five minus thirty-nine?
Answer:",56,56,True
31,"Question: What is thirty-six minus eighty-one?
Answer:",-45,-45,True
32,"Question: What is forty-four minus seventy-six?
Answer:",-32,-32,True
33,"Question: What is five minus fourteen?
Answer:",-9,-9,True
34,"Question: What is six minus seven?
Answer:",-1,-1,True
35,"Question: What is ninety-four minus twenty-one?
Answer:",73,73,True
36,"Question: What is seventy-six minus ninety-three?
Answer:",-17,-17,True
37,"Question: What is forty-six minus sixteen?
Answer:",30,30,True
38,"Question: What is forty-three minus fifty-nine?
Answer:",-16,-16,True
39,"Question: What is eighty-two minus seventy-six?
Answer:",6,6,True
40,"Question: What is sixty-four minus fifty-six?
Answer:",8,8,True
41,"Question: What is twenty-nine minus ninety-three?
Answer:",-64,-64,True
42,"Question: What is thirty minus twenty-three?
Answer:",7,7,True
43,"Question: What is forty-eight minus forty-two?
Answer:",6,6,True
44,"Question: What is sixty-two minus twenty-five?
Answer:",37,37,True
45,"Question: What is seventy-one minus seventy-four?
Answer:",-3,-3,True
46,"Question: What is thirty-one minus twenty?
Answer:",11,11,True
47,"Question: What is sixty-eight minus forty-two?
Answer:",26,26,True
48,"Question: What is twenty-three minus sixty-five?
Answer:",-42,-42,True
49,"Question: What is forty-four minus twenty-six?
Answer:",18,18,True
50,"Question: What is twenty-five minus ninety-five?
Answer:",-70,-70,True
51,"Question: What is four minus sixty-one?
Answer:",-57,-57,True
52,"Question: What is sixty-four minus fourteen?
Answer:",50,50,True
53,"Question: What is ninety-four minus forty-two?
Answer:",52,52,True
54,"Question: What is forty minus fifty-six?
Answer:",-16,-16,True
55,"Question: What is sixty-five minus eighteen?
Answer:",47,47,True
56,"Question: What is eighty-nine minus seventy-two?
Answer:",17,17,True
57,"Question: What is thirty-six minus eighty-two?
Answer:",-46,-46,True
58,"Question: What is three minus thirty-three?
Answer:",-30,-30,True
59,"Question: What is twelve minus forty-five?
Answer:",-33,-33,True
60,"Question: What is eighty-three minus twenty-one?
Answer:",62,62,True
61,"Question: What is ninety-nine minus seventeen?
Answer:",82,82,True
62,"Question: What is ninety-six minus fifty-nine?
Answer:",37,37,True
63,"Question: What is twenty-nine minus sixty-six?
Answer:",-37,-37,True
64,"Question: What is forty-seven minus thirteen?
Answer:",34,34,True
65,"Question: What is thirty-six minus thirty-three?
Answer:",3,3,True
66,"Question: What is thirty-four minus twenty-seven?
Answer:",7,7,True
67,"Question: What is sixty-two minus fifty-eight?
Answer:",4,4,True
68,"Question: What is thirteen minus sixty-two?
Answer:",-49,-49,True
69,"Question: What is seventy-one minus twenty-six?
Answer:",45,45,True
70,"Question: What is eleven minus thirty-eight?
Answer:",-27,-27,True
71,"Question: What is fifty-eight minus fifty?
Answer:",8,8,True
72,"Question: What is seventy-two minus ninety-three?
Answer:",-21,-21,True
73,"Question: What is fifty-two minus fifty-four?
Answer:",-2,-2,True
74,"Question: What is fifty-five minus eighty-two?
Answer:",-27,-27,True
75,"Question: What is forty-three minus thirty?
Answer:",13,13,True
76,"Question: What is fifty-four minus twenty-one?
Answer:",33,33,True
77,"Question: What is thirty-six minus eighty-four?
Answer:",-48,-48,True
78,"Question: What is fifty minus two?
Answer:",48,48,True
79,"Question: What is five minus fifty?
Answer:",-45,-45,True
80,"Question: What is forty-six minus ninety-seven?
Answer:",-51,-51,True
81,"Question: What is twenty-nine minus sixteen?
Answer:",13,13,True
82,"Question: What is one minus ninety-seven?
Answer:",-96,-96,True
83,"Question: What is ninety-nine minus sixty-five?
Answer:",34,34,True
84,"Question: What is thirty-one minus twenty-five?
Answer:",6,6,True
85,"Question: What is twenty-one minus forty-seven?
Answer:",-26,-26,True
86,"Question: What is one minus ninety-three?
Answer:",-92,-92,True
87,"Question: What is forty-three minus ninety-nine?
Answer:",-56,-56,True
88,"Question: What is thirty-nine minus seventy-four?
Answer:",-35,-35,True
89,"Question: What is seven minus sixty-five?
Answer:",-58,-58,True
90,"Question: What is thirty minus thirty-six?
Answer:",-6,-6,True
91,"Question: What is fifty-three minus twenty-two?
Answer:",31,31,True
92,"Question: What is sixty-nine minus forty-four?
Answer:",25,25,True
93,"Question: What is fifty-two minus twenty?
Answer:",32,32,True
94,"Question: What is forty-eight minus thirty-seven?
Answer:",11,11,True
95,"Question: What is thirty-seven minus seventy-nine?
Answer:",-42,-42,True
96,"Question: What is nine minus fifty-three?
Answer:",-44,-44,True
97,"Question: What is twenty minus thirty?
Answer:",-10,-10,True
98,"Question: What is thirty-two minus forty-two?
Answer:",-10,-10,True
99,"Question: What is twenty-nine minus ninety-two?
Answer:",-63,-63,True
100,"Question: What is fifteen minus eighty-six?
Answer:",-71,-71,True
101,"Question: What is twenty-four minus sixty-six?
Answer:",-42,-42,True
102,"Question: What is ninety-five minus twenty-four?
Answer:",71,71,True
103,"Question: What is fifty minus ninety?
Answer:",-40,-40,True
104,"Question: What is twenty-six minus forty?
Answer:",-14,-14,True
105,"Question: What is nineteen minus one?
Answer:",18,18,True
106,"Question: What is forty-eight minus fifty?
Answer:",-2,-2,True
107,"Question: What is eighty-eight minus fifty-three?
Answer:",35,35,True
108,"Question: What is seventy-two minus twenty-nine?
Answer:",43,43,True
109,"Question: What is twenty-seven minus eighty-one?
Answer:",-54,-54,True
