problem,expected_answer,gpt4_answer,is_correct
"Question: What is 95 times 45?
Answer:",4275,4275,True
"Question: What is 54 times 4?
Answer:",216,216,True
"Question: What is 4 times 69?
Answer:",276,276,True
"Question: What is 70 times 94?
Answer:",6580,6580,True
"Question: What is 65 times 81?
Answer:",5265,5265,True
"Question: What is 25 times 0?
Answer:",0,0,True
"Question: What is 3 times 71?
Answer:",213,213,True
"Question: What is 27 times 41?
Answer:",1107,1107,True
"Question: What is 31 times 85?
Answer:",2635,2635,True
"Question: What is 92 times 83?
Answer:",7636,7636,True
"Question: What is 68 times 83?
Answer:",5644,5644,True
"Question: What is 34 times 92?
Answer:",3128,3136,False
"Question: What is 91 times 78?
Answer:",7098,7108,False
"Question: What is 97 times 85?
Answer:",8245,8245,True
"Question: What is 69 times 31?
Answer:",2139,2139,True
"Question: What is 55 times 87?
Answer:",4785,4785,True
"Question: What is 94 times 42?
Answer:",3948,3948,True
"Question: What is 48 times 23?
Answer:",1104,1104,True
"Question: What is 92 times 7?
Answer:",644,644,True
"Question: What is 77 times 99?
Answer:",7623,7623,True
"Question: What is 88 times 32?
Answer:",2816,2816,True
"Question: What is 11 times 7?
Answer:",77,77,True
"Question: What is 40 times 36?
Answer:",1440,1440,True
"Question: What is 39 times 27?
Answer:",1053,1053,True
"Question: What is 90 times 56?
Answer:",5040,5040,True
"Question: What is 67 times 16?
Answer:",1072,1072,True
"Question: What is 54 times 26?
Answer:",1404,1404,True
"Question: What is 51 times 66?
Answer:",3366,3366,True
"Question: What is 91 times 95?
Answer:",8645,8645,True
"Question: What is 44 times 63?
Answer:",2772,2772,True
"Question: What is 25 times 48?
Answer:",1200,1200,True
"Question: What is 98 times 83?
Answer:",8134,8134,True
"Question: What is 30 times 6?
Answer:",180,180,True
"Question: What is 7 times 50?
Answer:",350,350,True
"Question: What is 12 times 34?
Answer:",408,408,True
"Question: What is 99 times 62?
Answer:",6138,6138,True
"Question: What is 49 times 93?
Answer:",4557,4557,True
"Question: What is 62 times 43?
Answer:",2666,2666,True
"Question: What is 7 times 89?
Answer:",623,623,True
"Question: What is 44 times 48?
Answer:",2112,2112,True
"Question: What is 43 times 5?
Answer:",215,215,True
"Question: What is 32 times 56?
Answer:",1792,1792,True
"Question: What is 90 times 63?
Answer:",5670,5670,True
"Question: What is 8 times 58?
Answer:",464,464,True
"Question: What is 30 times 35?
Answer:",1050,1050,True
"Question: What is 35 times 13?
Answer:",455,455,True
"Question: What is 47 times 12?
Answer:",564,564,True
"Question: What is 40 times 2?
Answer:",80,80,True
