problem,expected_answer,gpt4_answer,is_correct
"Question: What is (nine + eight) * two?
Answer:",34,34,True
"Question: What is (four - seven) - three?
Answer:",-6,-6,True
"Question: What is (one - five) - six?
Answer:",-10,-10,True
"Question: What is (one - nine) * five?
Answer:",-40,-40,True
"Question: What is (four * four) * one?
Answer:",16,16,True
"Question: What is (eight + three) * five?
Answer:",55,55,True
"Question: What is (seven + five) - six?
Answer:",6,6,True
"Question: What is (two - eight) - four?
Answer:",-10,-10,True
"Question: What is (two * four) * six?
Answer:",48,48,True
"Question: What is (three - four) - one?
Answer:",-2,-2,True
"Question: What is (three + eight) * eight?
Answer:",88,88,True
"Question: What is (five - nine) * three?
Answer:",-12,-12,True
"Question: What is (three * five) + seven?
Answer:",22,22,True
"Question: What is (five + four) * seven?
Answer:",63,63,True
"Question: What is (two + five) + three?
Answer:",10,10,True
"Question: What is (seven * five) - four?
Answer:",31,31,True
"Question: What is (five - one) * six?
Answer:",24,24,True
"Question: What is (one * five) * seven?
Answer:",35,35,True
"Question: What is (five - one) * seven?
Answer:",28,28,True
"Question: What is (five + one) + one?
Answer:",7,Seven,False
"Question: What is (four * nine) + two?
Answer:",38,38,True
"Question: What is (two - six) * two?
Answer:",-8,-8,True
"Question: What is (two + five) - one?
Answer:",6,6,True
"Question: What is (nine + five) * four?
Answer:",56,56,True
"Question: What is (two - three) - two?
Answer:",-3,-3,True
"Question: What is (one - three) + nine?
Answer:",7,Seven,False
"Question: What is (eight * two) + eight?
Answer:",24,24,True
"Question: What is (one + five) * three?
Answer:",18,18,True
"Question: What is (six - four) + five?
Answer:",7,Seven,False
"Question: What is (five - four) - nine?
Answer:",-8,-8,True
"Question: What is (two + four) - one?
Answer:",5,Five,False
"Question: What is (nine - four) + nine?
Answer:",14,14,True
"Question: What is (one - two) * eight?
Answer:",-8,-8,True
"Question: What is (one * eight) - nine?
Answer:",-1,7,False
"Question: What is (four * seven) + two?
Answer:",30,30,True
"Question: What is (four + eight) - nine?
Answer:",3,3,True
"Question: What is (four + one) + seven?
Answer:",12,12,True
"Question: What is (three - seven) + six?
Answer:",2,two,False
"Question: What is (five - nine) * eight?
Answer:",-32,-32,True
"Question: What is (nine + nine) - two?
Answer:",16,16,True
"Question: What is (one - nine) - two?
Answer:",-10,-10,True
"Question: What is (seven - four) - one?
Answer:",2,2,True
"Question: What is (three * five) + eight?
Answer:",23,23,True
"Question: What is (one - five) * four?
Answer:",-16,-16,True
"Question: What is (two * six) - seven?
Answer:",5,5,True
"Question: What is (one * five) - eight?
Answer:",-3,-3,True
"Question: What is (six * five) - two?
Answer:",28,28,True
"Question: What is (three * four) - eight?
Answer:",4,4,True
"Question: What is (eight + nine) + eight?
Answer:",25,25,True
"Question: What is (seven * seven) - two?
Answer:",47,47,True
"Question: What is (six - five) + seven?
Answer:",8,8,True
"Question: What is (five - six) * four?
Answer:",-4,-4,True
"Question: What is (two * seven) - seven?
Answer:",7,7,True
"Question: What is (one * one) + six?
Answer:",7,Seven,False
"Question: What is (six + six) + one?
Answer:",13,Thirteen,False
"Question: What is (seven + five) + five?
Answer:",17,Seventeen,False
"Question: What is (three + seven) - six?
Answer:",4,4,True
"Question: What is (five + three) * four?
Answer:",32,32,True
"Question: What is (eight * nine) + eight?
Answer:",80,80,True
"Question: What is (five * five) * two?
Answer:",50,50,True
"Question: What is (two * seven) + two?
Answer:",16,16,True
"Question: What is (eight * three) + four?
Answer:",28,28,True
"Question: What is (six + three) - five?
Answer:",4,4,True
"Question: What is (three * two) + one?
Answer:",7,7,True
"Question: What is (five + eight) + seven?
Answer:",20,20,True
"Question: What is (eight * eight) - one?
Answer:",63,63,True
"Question: What is (seven + five) + three?
Answer:",15,15,True
"Question: What is (seven * eight) - one?
Answer:",55,55,True
