problem,expected_answer,gpt4_answer,is_correct
"Question: What is ninety-eight plus forty-five?
Answer:",143,143,True
"Question: What is ninety-five plus fifty-eight?
Answer:",153,153,True
"Question: What is zero plus twenty-five?
Answer:",25,Twenty-five,False
"Question: What is seventy-two plus twenty-five?
Answer:",97,97,True
"Question: What is seventy plus fifteen?
Answer:",85,85,True
"Question: What is fifty-two plus twenty-three?
Answer:",75,Seventy-five,False
"Question: What is thirty-six plus seventeen?
Answer:",53,53,True
"Question: What is forty-seven plus thirty-two?
Answer:",79,Seventy-nine,False
"Question: What is fifteen plus forty-five?
Answer:",60,60,True
"Question: What is ten plus ninety-one?
Answer:",101,101,True
"Question: What is seventy-two plus five?
Answer:",77,77,True
"Question: What is sixty-one plus forty?
Answer:",101,101,True
"Question: What is sixty-four plus fifty-seven?
Answer:",121,121,True
"Question: What is ninety-three plus fifty?
Answer:",143,143,True
"Question: What is twenty-five plus two?
Answer:",27,27,True
"Question: What is ninety-nine plus thirty-seven?
Answer:",136,136,True
"Question: What is forty-six plus thirty-two?
Answer:",78,Seventy-eight,False
"Question: What is eighty-eight plus forty-three?
Answer:",131,131,True
"Question: What is fifteen plus thirty-seven?
Answer:",52,52,True
"Question: What is thirty plus ninety-seven?
Answer:",127,127,True
"Question: What is eighty-five plus sixty-five?
Answer:",150,150,True
"Question: What is eighty-five plus sixty-eight?
Answer:",153,153,True
"Question: What is six plus twenty-five?
Answer:",31,31,True
"Question: What is forty-two plus sixty-four?
Answer:",106,106,True
"Question: What is twenty-eight plus twenty-nine?
Answer:",57,Fifty-seven,False
"Question: What is eighty-one plus seventy-four?
Answer:",155,155,True
"Question: What is eight plus twenty-eight?
Answer:",36,36,True
"Question: What is eighty plus eighteen?
Answer:",98,98,True
"Question: What is thirty-seven plus seventy?
Answer:",107,107,True
"Question: What is ninety-seven plus sixty-eight?
Answer:",165,165,True
"Question: What is nine plus forty-one?
Answer:",50,50,True
"Question: What is twenty plus twenty-five?
Answer:",45,45,True
"Question: What is sixty-eight plus eighty-eight?
Answer:",156,156,True
"Question: What is forty plus twenty-one?
Answer:",61,Sixty-one,False
"Question: What is thirty-four plus thirty-five?
Answer:",69,Sixty-nine,False
"Question: What is sixty-one plus seventy-five?
Answer:",136,136,True
"Question: What is sixty plus ninety-five?
Answer:",155,155,True
"Question: What is eighty-seven plus fifty-seven?
Answer:",144,144,True
"Question: What is fifty-one plus twenty-three?
Answer:",74,74,True
"Question: What is seventy-eight plus thirty-two?
Answer:",110,110,True
"Question: What is thirty-three plus forty-five?
Answer:",78,78,True
"Question: What is twenty-four plus sixteen?
Answer:",40,40,True
