problem,expected_answer,gpt4_answer,is_correct
"Question: What is 509 minus 488?
Answer:",21,21,True
"Question: What is 87 minus 251?
Answer:",-164,-164,True
"Question: What is 851 minus 56?
Answer:",795,795,True
"Question: What is 385 minus 211?
Answer:",174,174,True
"Question: What is 462 minus 762?
Answer:",-300,-300,True
"Question: What is 105 minus 846?
Answer:",-741,-741,True
"Question: What is 299 minus 965?
Answer:",-666,-666,True
"Question: What is 993 minus 40?
Answer:",953,953,True
"Question: What is 965 minus 254?
Answer:",711,711,True
"Question: What is 725 minus 964?
Answer:",-239,-239,True
"Question: What is 382 minus 478?
Answer:",-96,-96,True
"Question: What is 227 minus 214?
Answer:",13,13,True
"Question: What is 250 minus 104?
Answer:",146,146,True
"Question: What is 204 minus 993?
Answer:",-789,-789,True
"Question: What is 350 minus 333?
Answer:",17,17,True
"Question: What is 458 minus 11?
Answer:",447,447,True
"Question: What is 156 minus 591?
Answer:",-435,-435,True
"Question: What is 649 minus 735?
Answer:",-86,-86,True
"Question: What is 345 minus 707?
Answer:",-362,-362,True
"Question: What is 369 minus 867?
Answer:",-498,-498,True
"Question: What is 489 minus 280?
Answer:",209,209,True
"Question: What is 740 minus 869?
Answer:",-129,-129,True
"Question: What is 691 minus 265?
Answer:",426,426,True
"Question: What is 127 minus 390?
Answer:",-263,-263,True
"Question: What is 358 minus 867?
Answer:",-509,-509,True
"Question: What is 895 minus 946?
Answer:",-51,-51,True
"Question: What is 809 minus 270?
Answer:",539,539,True
"Question: What is 36 minus 320?
Answer:",-284,-284,True
"Question: What is 626 minus 994?
Answer:",-368,-368,True
"Question: What is 110 minus 309?
Answer:",-199,-199,True
"Question: What is 368 minus 951?
Answer:",-583,-583,True
"Question: What is 462 minus 735?
Answer:",-273,-273,True
"Question: What is 653 minus 906?
Answer:",-253,-253,True
"Question: What is 506 minus 351?
Answer:",155,155,True
"Question: What is 363 minus 948?
Answer:",-585,-585,True
"Question: What is 777 minus 159?
Answer:",618,618,True
"Question: What is 3 minus 446?
Answer:",-443,-443,True
"Question: What is 959 minus 292?
Answer:",667,667,True
"Question: What is 320 minus 870?
Answer:",-550,-550,True
"Question: What is 151 minus 144?
Answer:",7,7,True
"Question: What is 889 minus 568?
Answer:",321,321,True
"Question: What is 162 minus 351?
Answer:",-189,-189,True
"Question: What is 685 minus 161?
Answer:",524,524,True
"Question: What is 823 minus 146?
Answer:",677,677,True
"Question: What is 801 minus 32?
Answer:",769,769,True
"Question: What is 572 minus 14?
Answer:",558,558,True
"Question: What is 168 minus 481?
Answer:",-313,-313,True
"Question: What is 165 minus 755?
Answer:",-590,-590,True
"Question: What is 94 minus 874?
Answer:",-780,-780,True
